"weeks","totalperweek","label"
1,360,"2018"
2,419,"2018"
3,493,"2018"
4,431,"2018"
5,503,"2018"
6,459,"2018"
7,463,"2018"
8,523,"2018"
9,558,"2018"
10,631,"2018"
11,687,"2018"
12,760,"2018"
13,579,"2018"
14,676,"2018"
15,650,"2018"
16,613,"2018"
17,468,"2018"
18,534,"2018"
19,518,"2018"
20,475,"2018"
21,439,"2018"
22,395,"2018"
23,361,"2018"
24,365,"2018"
25,312,"2018"
26,313,"2018"
27,367,"2018"
28,327,"2018"
29,386,"2018"
30,338,"2018"
31,290,"2018"
32,281,"2018"
33,290,"2018"
34,285,"2018"
35,219,"2018"
36,209,"2018"
37,211,"2018"
38,173,"2018"
39,192,"2018"
40,218,"2018"
41,211,"2018"
42,219,"2018"
43,193,"2018"
44,228,"2018"
45,194,"2018"
46,213,"2018"
47,199,"2018"
48,237,"2018"
49,186,"2018"
50,188,"2018"
51,138,"2018"
52,43,"2018"
1,822,"2017"
2,880,"2017"
3,947,"2017"
4,1085,"2017"
5,1115,"2017"
6,1157,"2017"
7,1096,"2017"
8,872,"2017"
9,1039,"2017"
10,1158,"2017"
11,1251,"2017"
12,1250,"2017"
13,1252,"2017"
14,1186,"2017"
15,1097,"2017"
16,1095,"2017"
17,1039,"2017"
18,1180,"2017"
19,1036,"2017"
20,1017,"2017"
21,971,"2017"
22,883,"2017"
23,771,"2017"
24,596,"2017"
25,516,"2017"
26,493,"2017"
27,370,"2017"
28,371,"2017"
29,319,"2017"
30,286,"2017"
31,287,"2017"
32,261,"2017"
33,248,"2017"
34,231,"2017"
35,208,"2017"
36,171,"2017"
37,210,"2017"
38,213,"2017"
39,169,"2017"
40,228,"2017"
41,207,"2017"
42,222,"2017"
43,172,"2017"
44,213,"2017"
45,220,"2017"
46,221,"2017"
47,216,"2017"
48,207,"2017"
49,223,"2017"
50,215,"2017"
51,162,"2017"
52,97,"2017"
