"State","Weekly.Cases.Incidence","Total.Cumulative.Cases.Incidence","Total.Population"
"Acre",39.6,923,42467724
"Alagoas",12.2,325.2,174666076
"Amapa",14.7,398.1,40679340
"Amazonas",11.9,389.7,208086684
"Bahia",9.5,302.9,794381432
"Ceara",6.6,220.6,466110476
"Distrito Federal",4.5,133.7,154815232
"Espirito Santo",14,421,206632244
"Goias",29.7,1100.2,348184460
"Maranhao",2.8,84,361609872
"Mato Grosso",31.8,1265,171887612
"Mato Grosso do Sul",11.1,347.8,139484072
"Minas Gerais",4.6,150.3,1091873120
"Para",8.9,275.3,431878668
"Paraiba",16,464.7,207969580
"Parana",1.7,53.6,584621440
"Pernambuco",6.3,160.7,489337472
"Piaui",2.5,87,167033360
"Rio de Janeiro",23.5,848.6,865071792
"Rio Grande do Norte",31.3,873.6,180699896
"Rio Grande do Sul",1.1,37.9,586898000
"Rondonia",13.7,447.7,92938508
"Roraima",27.4,704.4,26739908
"Santa Catarina",1.2,40.2,359348756
"Sao Paulo",3,91,2326984348
"Sergipe",1,29.2,117820508
"Tocantins",82.5,1858.6,79710904
